id,name,cuisine_type,country,city,address,rating,business_status,latitude,longitude,price_level,website,created_at,updated_at,location
ChIJMRl6DLYcdkgRt9E0ECCsVcc,Sheba Restaurant - Awarded Best Curry House In UK,Indian,UK,London,"136 Brick Ln, London",4.6,OPERATIONAL,51.520664,-0.0717127,2,https://www.shebabricklane.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000043363575C35BB2BF2E1A321EA5C24940
ChIJmwYTAjMbdkgROz0ItAqwp84,Giotto Italian Restaurant,Italian,UK,London,"Giotto Italian Restaurant, 46-50 New Oxford St, London",4.4,OPERATIONAL,51.51713,-0.1261806,2,http://www.giottolondon.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000004DE03197AF26C0BFE7E3DA5031C24940
ChIJmzVTxtIEdkgRmHnN1lyXkY0,Patara Soho,Thai,UK,London,"15 Greek St, London W1D 4DP, UK",4.4,OPERATIONAL,51.5141736,-0.1307411,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000C61C5FD61FBCC0BFB93BC670D0C14940
ChIJNber-dQEdkgRJU94MkU7qTA,Polpo,Italian,UK,London,"41 Beak St, Carnaby, London W1F 9SB, UK",4.2,OPERATIONAL,51.5124853,-0.1375959,2,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000E0264811BE9CC1BF2397491E99C14940
ChIJ--NV5KcEdkgRhBQJ-YpaAX8,Lupins,British,UK,London,"66 Union St, London",4.5,OPERATIONAL,51.504124,-0.0950366,2,http://www.lupinslondon.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000EE4BEC905154B8BF79909E2287C04940
ChIJnVRkK9QEdkgRz8uiqq2HfjM,Veeraswamy,Indian,UK,London,"Victory House, 99 Regent St., London W1B 4RS, UK",4.3,OPERATIONAL,51.509983,-0.1378045,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000CCED5EEE93A3C1BF0B42791F47C14940
ChIJNzsd-NQEdkgRmrDZyr1DPUg,Bob Bob Ricard Soho,French,UK,London,"1 Upper James St, London W1F 9DF, UK",4.4,OPERATIONAL,51.51233,-0.1372525,4,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000A8A9656B7D91C1BF3D61890794C14940
ChIJP4ifK9QEdkgRNmLyAs3GJfY,Gaucho Piccadilly,Steakhouse,UK,London,"25 Swallow St, London W1B 4QR, UK",4.4,OPERATIONAL,51.5097608,-0.1379257,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000779263A18CA7C1BF336486D73FC14940
ChIJP8v1-tIEdkgRAdetOMmCKDg,Gauthier Soho,,UK,London,"21 Romilly St, London W1D 5AF, UK",4.6,OPERATIONAL,51.5127783,-0.1314676,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000EBE63D29EED3C0BF9B4C26B8A2C14940
ChIJpe4PxL4EdkgR6ZrNfLPwuq4,Florentine Trattoria,Italian,UK,London,"6 Hercules Rd, London",4.2,OPERATIONAL,51.498055,-0.1133333,2,https://www.parkplazalondonwaterloo.com/restaurant-bar/florentine/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000CA390C416903BDBFFD4D2844C0BF4940
ChIJpUe2vIYFdkgRleo9cdWJWpE,Baba Ghanouj Kensington,Lebanese,UK,London,"105 Gloucester Rd, London",4.7,OPERATIONAL,51.49384,-0.1819868,2,https://www.babaghanouj.co.uk/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000068DF26ED574BC7BF73BA2C2636BF4940
ChIJPUeOndMEdkgRus43ScQicz8,Randall & Aubin,,UK,London,"16 Brewer St, London W1F 0SQ, UK",4.6,OPERATIONAL,51.5123279,-0.1341322,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000087962B723E2BC1BF08AAEBF593C14940
ChIJQdL1JNMEdkgRxbWzk_RxYHI,Quo Vadis,,UK,London,"26-29 Dean St, London W1D 3LL, UK",4.4,OPERATIONAL,51.5141128,-0.1326476,4,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000354AF2B798FAC0BF3D3ABF72CEC14940
ChIJqeYp3NIEdkgRl9hMI8pRL8U,Barrafina Dean Street,,UK,London,"26-27 Dean St, London W1D 3LL, UK",4.5,OPERATIONAL,51.51411,-0.1326671,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000023A9E04B3CFBC0BFF645425BCEC14940
ChIJq-uTY_EFdkgRkoi0u3r6miQ,Eli’s,American,UK,London,"6-8 Bute St, London",4.6,OPERATIONAL,51.4935,-0.1760596,-1,http://www.elisrestaurant.co.uk/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000B5CB12F81E89C6BFBA490C022BBF4940
ChIJqwx2nvwPdkgRVXDViwUBCzg,Portobello Ristorante Pizzeria,Italian,UK,London,"7 Ladbroke Rd, London",4.5,OPERATIONAL,51.50964,-0.1980322,2,http://portobellolondon.co.uk/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000FC07477F1E59C9BFE15D2EE23BC14940
ChIJQzu8RIsPdkgR2uLo3f5W_CM,No.10 Restaurant 上海10號,Chinese,UK,London,"10 Hogarth Pl, London",4.6,OPERATIONAL,51.49294,-0.1928248,-1,https://www.no10restaurant.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000073CAEDA87BAEC8BFF3716DA818BF4940
ChIJQZwYi80EdkgR58WSdE7oUro,Cork & Bottle Wine Bar Leicester Square,,UK,London,"44-46 Cranbourn St, London WC2H 7AN, UK",4.5,OPERATIONAL,51.5111226,-0.1289663,2,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000BD9F64BCF781C0BF8D9F21776CC14940
ChIJr1bQJKAbdkgRgMRxFISeVb4,Fare,British,UK,London,"11 Old St, London",4.4,OPERATIONAL,51.523598,-0.0980597,2,https://www.farelondon.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000EA398EC4701AB9BF21205F4205C34940
ChIJRVW8kkIFdkgR1h19Acj9tbw,Pierino,Italian,UK,London,"37 Thurloe Pl, London",4.3,OPERATIONAL,51.49511,-0.174019,2,https://pierinorestaurant.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000D3F9F02C4146C6BF16F6B4C35FBF4940
ChIJRw8qfLkEdkgRzCtaLhTmdqE,La Barca Ristorante,Italian,UK,London,"80-81 Lower Marsh, London",4.6,OPERATIONAL,51.501774,-0.111001,3,http://www.labarca-ristorante.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000087C3D2C08F6ABCBFD6FD63213AC04940
ChIJRXCcCSsbdkgRWngFn-SiwMg,Long Bar,,UK,London,"50 Berners St, London W1T 3NG, UK",4.3,OPERATIONAL,51.5174738,-0.1372109,,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000013CE13742090C1BFB7C4DB943CC24940
ChIJrYGa4tIEdkgRGkur5G-08qg,Cay Tre Soho,Vietnamese,UK,London,"42-43 Dean St, London W1D 4PZ, UK",4.1,OPERATIONAL,51.5132694,-0.1320391,2,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000FD892540A8E6C0BFCE84CBCFB2C14940
ChIJt0fSL9UEdkgRNbF25sXGuEk,Ping Pong,,UK,London,"45 Great Marlborough St, Carnaby, London W1F 7JL, UK",4.1,OPERATIONAL,51.5142512,-0.138644,2,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000018B0E42A16BFC1BFE1F6BAFBD2C14940
ChIJT9CESIsPdkgRuv8SRxGDQIU,Pizza Piccolo Restaurant,Italian,UK,London,"18 Hogarth Pl, London",4.3,OPERATIONAL,51.493237,-0.1925145,2,https://pizzapiccololondon.co.uk/menu,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000CBBDC0AC50A4C8BFAD16D86322BF4940
ChIJT-hzcqQbdkgROZz0JoVygq8,Taqueria - Exmouth Market,Mexican,UK,London,"8-10 Exmouth Market, London",4.2,OPERATIONAL,51.525196,-0.1100714,2,https://taqueria.co.uk/exmouth/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000004D9539A7A32DBCBFB9FE5D9F39C34940
ChIJU_kdsHcFdkgRIzU2fm0McoY,Big Fernand - Best Burger in London,French,UK,London,"39 Thurloe Pl, London",4.4,OPERATIONAL,51.495197,-0.1737524,2,http://www.bigfernanduk.com/?utm_source=gmb,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000004BFECCC5843DC6BFE509849D62BF4940
ChIJV9j3pyoFdkgRGVoRgp9w8To,Aqua Nueva,,UK,London,"30 Argyll St, London W1B 3BR, UK",4.2,OPERATIONAL,51.514452,-0.1407718,4,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000907A9972CF04C2BF4FAE2990D9C14940
ChIJVcvKc80EdkgRyV3q0YIzDvc,The Ivy,,UK,London,"1-5 West St, London WC2H 9NQ, UK",4.4,OPERATIONAL,51.5128449,-0.1280908,3,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000A69075824765C0BFCFB5D4E6A4C14940
ChIJW7d2YlMDdkgR6xp0JHq_DP4,Hispania,Spanish,UK,London,"72-74 Lombard St, London",4.5,OPERATIONAL,51.512882,-0.0877012,3,http://hispanialondon.com/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000096E8D1F99573B6BF815A0C1EA6C14940
ChIJWdK_w9YEdkgRdu6jPHuHOTo,Al Duca,,UK,London,"4-5 Duke of York St, London SW1Y 6LA, UK",4.3,OPERATIONAL,51.5081355,-0.1362659,2,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000004AAE07382971C1BFE33785950AC14940
